evt,min,loc_err_h,loc_err_z,loc_err_resid,loc_num_st,loc_min_dist,loc_avg_dist,loc_stdev_dist,loc_azim_gap_1,loc_azim_gap_2,mag,mag_err,mag_num_st
22841991,1,9.37093,8.54936,1.68238,12,312.3983121,1022.43550676,484.746389575,98.6219,188.166,5.3958,0.04234,4
22841991,2,5.4664,7.57665,1.28371,17,320.9221375,1476.99282284,827.500867661,98.2218,188.757,5.32314,0.1076,5
22841991,3,7.84575,8.78116,1.11428,17,311.6166464,1645.18352606,899.629247599,125.45,224.09,5.53034,0.073875,8
22841991,4,7.725,8.7837,1.11428,17,311.6166464,1645.18352606,899.629247599,125.45,224.09,5.53034,0.073875,8
22841991,5,8.28269,7.39026,1.14272,20,310.8349807,2113.86411201,1393.62911107,117.594,216.252,5.4757,0.139215,8
22841991,6,6.88198,6.79962,1.16737,23,309.2727612,2549.28025069,1729.88690674,107.756,206.449,5.53012,0.07455,8
22841991,7,6.88198,6.79962,1.14873,25,309.2727612,2549.28025069,1729.88690674,107.756,206.449,5.53012,0.07455,8
22841991,8,7.27205,6.55531,1.46571,28,316.2788431,3037.02531365,2148.23725463,98.4652,188.471,5.5306,0.072595,8
22841991,9,6.93638,6.82783,1.16791,37,308.4910955,4533.54400999,2955.31840367,49.2448,74.1366,5.53005,0.074775,8
22841991,10,7.78979,6.59166,1.57932,37,317.2817769,4320.34680142,2955.80496808,71.3581,131.683,5.53187,0.07201,8
22841991,11,7.78979,6.59166,1.35003,39,317.2817769,4750.33739339,3127.75791215,56.8099,78.8872,5.53187,0.07201,8
22841991,12,7.78979,6.59166,1.35003,39,317.2817769,4750.33739339,3127.75791215,56.8099,78.8872,5.53187,0.07201,8
22841991,13,7.78979,6.59166,1.35003,39,317.2817769,4750.33739339,3127.75791215,56.8099,78.8872,5.53187,0.07201,8
22841991,14,7.78979,6.59166,1.35003,39,317.2817769,4750.33739339,3127.75791215,56.8099,78.8872,5.53187,0.07201,8
22841991,15,7.78979,6.59166,1.35003,39,317.2817769,4750.33739339,3127.75791215,56.8099,78.8872,5.53187,0.07201,8
22841991,16,13.6347,18.6834,1.10584,17,335.5402868,1821.04117222,1390.1658667,98.943,191.929,5.53473,0.06669,8
22842251,1,13.4834,13.2606,1.46671,10,325.9167923,1108.06438976,519.423317336,107.847,198.831,5.17221,0.105765,2
22842251,2,13.57,13.4828,1.07612,17,324.3534609,1678.23527681,812.333413538,107.899,198.678,5.2764,0,3
22842251,3,13.6637,13.4369,1.04947,19,324.3356705,1870.72750808,958.485306668,107.765,198.465,5.27638,0,3
22842251,4,13.6637,13.4369,1.04947,19,324.3356705,1870.72750808,958.485306668,107.765,198.465,5.27638,0,3
22842251,5,13.6637,13.4369,1.04947,19,324.3356705,1870.72750808,958.485306668,107.765,198.465,5.27638,0,3
22842251,6,14.0406,13.8459,1.20042,21,322.7723391,2136.271232,1228.08003332,107.817,198.313,5.21659,0.05821,4
22842251,7,14.0593,14.2352,1.18933,22,322.7890176,2388.75627829,1565.50347846,107.951,198.526,5.21658,0.058235,4
22842251,8,14.0593,14.2352,1.18933,22,322.7890176,2388.75627829,1565.50347846,107.951,198.526,5.27481,0,3
22842251,9,20.1455,16.7686,1.19668,26,321.2090077,3143.07072341,2289.91384398,90.2933,160.875,5.2732,0,3
22842251,10,14.8238,35.9465,1.24412,30,324.3534609,3891.80944646,2867.30028993,70.5042,103.056,5.2764,0,3
22842251,11,11.2901,19.9723,1.18553,20,324.3534609,2273.79391494,1803.80987874,90.7792,167.733,5.4621,0,1
22842251,12,24.9014,17.3782,1.18983,30,322.7723391,3895.08651227,2876.60398854,70.5085,131.651,5.2748,0,3
22842251,13,24.9014,17.3782,1.18983,30,322.7723391,3895.08651227,2876.60398854,70.5085,131.651,5.2748,0,3
22842251,14,24.9014,17.3782,1.18983,30,322.7723391,3895.08651227,2876.60398854,70.5085,131.651,5.2748,0,3
22842251,15,24.9014,17.3782,1.18983,30,322.7723391,3895.08651227,2876.60398854,70.5085,131.651,5.2748,0,3
22842251,16,24.9014,17.3782,1.18983,30,322.7723391,3895.08651227,2876.60398854,70.5085,131.651,5.2748,0,3
22846731,1,5.679,8.03623,2.07274,13,163.7906533,1325.79688725,589.087062319,122.141,142.316,5.62199,0,1
22846731,2,5.59424,7.11576,1.97838,14,163.6483301,1390.65428306,614.231957905,122.107,142.273,5.62185,0,1
22846731,3,6.58111,7.48496,1.81577,18,162.2551194,1865.64533505,1044.54071723,122.078,142.23,5.21561,0.406165,2
22846731,4,6.46531,8.66098,1.82473,20,161.6346792,2094.02987303,1213.34313476,122.081,142.229,5.62181,0,1
22846731,5,5.51851,8.1622,1.85177,20,159.4864884,2271.52124693,1372.55386659,122.021,142.142,5.62163,0,1
22846731,6,5.51851,8.1622,1.85177,20,159.4864884,2271.52124693,1372.55386659,122.021,142.142,5.62163,0,1
22846731,7,5.51851,8.1622,1.85963,20,159.4864884,2121.85416104,1238.97224865,75.9619,122.021,5.62163,0,1
22846731,8,13.5878,13.3654,1.31888,16,145.2397137,2323.48148753,1739.60913043,75.7718,121.286,5.19715,0.421905,2
22846731,9,14.8239,13.2751,2.07977,38,158.4168406,5132.22175997,3379.92949921,43.1265,51.3889,5.28811,0.33343,2
22846731,10,14.8239,13.2751,2.07947,40,158.4168406,5132.22175997,3379.92949921,43.1265,51.3889,5.28811,0.33343,2
22846731,11,14.8239,13.2751,2.10666,41,158.4168406,5132.22175997,3379.92949921,43.1265,51.3889,5.28811,0.33343,2
22846731,12,14.8239,13.2751,2.10666,41,158.4168406,5132.22175997,3379.92949921,43.1265,51.3889,5.28811,0.33343,2
22846731,13,14.8239,13.2751,2.10666,41,158.4168406,5132.22175997,3379.92949921,43.1265,51.3889,5.28811,0.33343,2
22846731,14,14.8239,13.2751,2.10666,41,158.4168406,5132.22175997,3379.92949921,43.1265,51.3889,5.28811,0.33343,2
22846731,15,14.8239,13.2751,2.10666,41,158.4168406,5132.22175997,3379.92949921,43.1265,51.3889,5.28811,0.33343,2
22846731,16,14.7949,13.329,1.893,43,156.5755342,6137.43740877,4030.9325,43.1222,51.3813,5.28606,0.335,2
22822451,1,57.402,38.1737,0.352769,6,795.0941163,1840.13649588,539.06180011,206.271,211.584,5.83332,0.05619,2
22822451,2,20.8254,22.7136,1.23533,24,428.7308496,2796.80070852,858.312200426,59.0304,93.1348,5.84376,0.13239,9
22822451,3,12.624,17.3384,1.11675,49,433.8144564,3372.62018566,876.394957171,54.4802,80.223,5.80174,0.119885,20
22822451,4,15.1569,18.3712,1.1037,100,433.5765098,4097.19376587,967.876347221,54.4326,56.2614,5.79354,0.10676,35
22822451,5,18.1671,17.7641,1.02293,136,423.0935166,4553.88767378,1127.52936991,35.7036,38.347,5.80142,0.108075,67
22822451,6,19.6572,19.5674,1.01904,163,421.9538191,4854.50892531,1259.6947734,35.7121,38.3556,5.80948,0.096935,78
22822451,7,18.3747,18.3958,1.01602,187,421.9538191,5207.02982272,1505.35399601,34.8953,35.7121,5.83167,0.108785,92
22822451,8,17.2009,19.428,0.996107,202,423.0935166,5521.51942806,1741.57600378,34.907,35.7036,5.83964,0.10889,98
22822451,9,17.6163,19.1712,1.06623,242,419.5220938,6193.18835985,2321.39612762,34.8689,35.7069,5.84321,0.11289,104
22822451,10,17.6163,19.1712,1.07612,248,419.5220938,6193.18835985,2321.39612762,18.9605,34.8689,5.84629,0.101965,104
22822451,11,17.6163,19.1712,1.07646,246,419.5220938,6193.18835985,2321.39612762,18.9605,34.8689,5.84599,0.10226,103
22822451,12,17.6163,19.1712,1.07646,246,419.5220938,6193.18835985,2321.39612762,18.9605,34.8689,5.84678,0.10282,104
22822451,13,17.6163,19.1712,1.07646,246,419.5220938,6193.18835985,2321.39612762,18.9605,34.8689,5.84678,0.10282,104
22822451,14,17.6163,19.1712,1.07918,248,419.5220938,6193.18835985,2321.39612762,18.9605,34.8689,5.84678,0.10282,104
22822451,15,17.4385,23.1866,1.18675,268,416.1130084,6897.77677849,3147.7461195,18.9698,23.9777,5.84691,0.10278,104
22822451,16,17.4385,23.1866,1.18759,282,416.1130084,6867.55139923,3114.57504003,18.9698,23.4426,5.84691,0.10278,104
