train_loss,validation_loss
5.358775524655357e-05,5.0762151659000665e-05
5.173649697098881e-05,4.993340917280875e-05
5.009238520869985e-05,4.869508120464161e-05
4.933611489832401e-05,4.686609827331267e-05
4.8868812882574275e-05,4.679660560213961e-05
4.870295015280135e-05,4.644639557227492e-05
4.814971180167049e-05,4.6373865188797936e-05
4.8031448386609554e-05,4.6017157728783786e-05
4.790348612004891e-05,4.576675928547047e-05
4.761972377309576e-05,4.9272104661213234e-05
4.732235902338289e-05,4.587412695400417e-05
4.707655534730293e-05,4.555867417366244e-05
4.681414065998979e-05,4.5803091779816896e-05
4.713928865385242e-05,4.5252796553540975e-05
4.685086605604738e-05,4.545034244074486e-05
4.650419214158319e-05,4.527018609223887e-05
4.62089192296844e-05,4.6876826672814786e-05
4.604148489306681e-05,4.5682430936722085e-05
4.5786506234435365e-05,4.430006447364576e-05
4.5730001147603616e-05,4.4564789277501404e-05
4.538164284895174e-05,4.4763844925910234e-05
4.598373925546184e-05,4.419582546688616e-05
4.5355231122812256e-05,4.4439871999202296e-05
4.4949276343686506e-05,4.285228351363912e-05
4.47288912255317e-05,4.2143718019360676e-05
4.418872413225472e-05,4.20582655351609e-05
4.348530637798831e-05,4.403227649163455e-05
4.37031703768298e-05,4.1495404730085284e-05
4.3399424612289295e-05,4.122417885810137e-05
4.3110128899570554e-05,4.0401766455033794e-05
4.3009669752791524e-05,4.644637738238089e-05
4.222245843266137e-05,4.3085172364953905e-05
4.230412741890177e-05,3.9706177631160244e-05
4.198084570816718e-05,4.333541073719971e-05
4.206989615340717e-05,3.8902311644051224e-05
4.1211536881746724e-05,3.885005207848735e-05
4.130397428525612e-05,4.290938886697404e-05
4.094894029549323e-05,3.792833012994379e-05
4.1402759961783886e-05,3.854306123685092e-05
4.0367776819039136e-05,3.8644888263661414e-05
4.0520626498619094e-05,3.822714279522188e-05
4.01981124014128e-05,3.7192818126641214e-05
3.992126221419312e-05,3.8410107663366944e-05
3.962477421737276e-05,4.1180286643793806e-05
3.936870416509919e-05,3.7450554373208433e-05
3.9079026464605704e-05,3.7107191019458696e-05
3.814401134150103e-05,4.039189298055135e-05
3.9345530240098014e-05,3.974023275077343e-05
3.8911653973627836e-05,3.6976824048906565e-05
3.82102771254722e-05,3.775041477638297e-05
3.797923636739142e-05,3.762275810004212e-05
3.733431367436424e-05,3.661863593151793e-05
3.742486296687275e-05,3.968980672652833e-05
3.778877362492494e-05,3.651797669590451e-05
3.697178544825874e-05,3.7472895201062784e-05
3.728557567228563e-05,3.8743834011256695e-05
3.7143567169550806e-05,3.982232738053426e-05
3.66360109183006e-05,3.762327469303273e-05
3.606313839554787e-05,3.747299706446938e-05
3.5937911889050156e-05,3.810129055636935e-05
3.593127985368483e-05,3.791908238781616e-05
3.6452795029617846e-05,3.715255297720432e-05
3.572948116925545e-05,3.643818126874976e-05
3.59308032784611e-05,3.83068727387581e-05
3.529162859194912e-05,3.667301280074753e-05
3.5183671570848674e-05,3.7487418012460694e-05
3.480969826341607e-05,4.016021193820052e-05
3.437070336076431e-05,3.9427915908163413e-05
3.582103818189353e-05,3.792062125285156e-05
3.493585609248839e-05,3.7209003494353965e-05
3.471220770734362e-05,3.6574896512320265e-05
3.39234720740933e-05,3.808554174611345e-05
3.4422682801960036e-05,3.953952545998618e-05
3.482355168671347e-05,3.6831432225881144e-05
3.393987935851328e-05,4.351806637714617e-05
3.4158430935349315e-05,3.734946949407458e-05
3.4357501135673374e-05,3.6333422031020746e-05
3.3738841011654586e-05,3.648190249805339e-05
3.421172732487321e-05,3.649415884865448e-05
3.394810846657492e-05,3.76397292711772e-05
3.376127278897911e-05,3.622079384513199e-05
3.2885152904782444e-05,3.755054422072135e-05
3.373395520611666e-05,3.652384475572035e-05
3.3995864214375615e-05,4.111081943847239e-05
3.2975203794194385e-05,3.9237951568793505e-05
3.2671672670403495e-05,3.912559986929409e-05
3.2543532142881304e-05,3.7932299164822325e-05
3.250442023272626e-05,3.9392900362145156e-05
3.216516415704973e-05,3.754255885723978e-05
3.252746319049038e-05,4.135126800974831e-05
3.248316716053523e-05,4.332403477746993e-05
3.2138039387064055e-05,3.658478817669675e-05
3.2244079193333164e-05,3.887328421114944e-05
3.186001049471088e-05,3.7322395655792207e-05
3.184940942446701e-05,3.736106737051159e-05
3.212830415577628e-05,3.8982143450994045e-05
3.259132427047007e-05,4.0873368561733514e-05
3.176959580741823e-05,3.744631976587698e-05
3.2155738153960556e-05,3.705632116179913e-05
3.159252810291946e-05,3.860982906189747e-05
